,response
student_253,It is an extremely wild perspective to come to terms with the fact the I am privileged enough to do things and not be taught the full consequences of my actions. I think that we need to improve the general education relating to this topic.  
student_254,It didn't make me feel any different since I already knew my impact on this earth would not be positive. I think that this was a fun way to communicate this issue. I wouldn't put a starving child's face as the first thing you see to get people to take the quiz and I would also add other things people do that contribute to this issue that arent as obvious as traveling. 
student_256,"Human life is such a hard-to-grasp concept, but It's also an effective measure of atrocity. If we were directly asked to take 13 hours off of someone else's life one would assume you would not do it. The exercise quantifies what is often not able to be quantified. Sure there are endless statistics about the value of life and the value of the enviorment, but it's not often perceptible.    "
student_257,Made me feel weird thinking these three options took someone else 17 hours to accomplish. I think it was effective because it puts certain luxuries people have in a new perspective. To improve this people could work for their food more or maybe travel less. 
student_258,Makes me feel pretty horrible about what i'm doing and my carbon footprint decisions.   Yes.   Using less petrol modes of transportation.   
student_259,This made me feel fortunate knowing I have these luxuries but know I should be more mindful. I think this was an effective way to communicate this issue. I think that could be improved is more of a diverse understanding on the topic. 
student_260,"I think this calculator is interesting to make people aware of some of their choices. I do not think many people often worry about how their life is affecting someone else's, especially not someone so far away. It made me think about my daily impacts on people in third world countries/countries really suffering from climate change. It made me sad to think there small choices in my life could have such a big negative impact on someone else's life. I think things like these that make people more aware of their impacts on the world. More daily education on choices and environmental impact would help as some people are just blissfully unaware. Giving more daily option could make things seem more real such as how often do you shower, how often do you eat such foods, how often do you travel, etc.  "
student_261,Makes me feel pretty horrible about my carbon footprint actions.   Yes this was an effective way to communicate this issue.   I could not use petrol cars as a start because I feel like thats the most important to pollution and I also could just think about my carbon footprint before my actions 
student_262,I am surprised that I took 16 hours off someone's life by making choices that I do everyday. I was defiantly a little taken aback. It would be helpful to have a list of what options were the best choices and also to have miles represented as well as KM! 
student_263,"This made me feel bad in a way because taking hours out of people's lives in general isn't something I believe is positive.    There are multiple ways of communicating this issue, including speaking to the world or doing things to help with life's issues. You can even do research and make a blog or a post about trying to take action for the betterment of not just your life but everyone else.   A lot can be improved in life, like keeping the place cleaner and better or even more cared for. "
student_264,This was a wake-up call that I think a lot of the developed world needs to hear about. The choices I made were pretty good because I make sure that I am aware of how my actions will impact the planet but I think there is a lot of ignorance on this topic. 
student_265,"I did not agree with this quiz. There are so many factors in play and they simplify it too much making it look like if you don't choose to eat chickpeas you are taking someones like without acknowledging factors such as how much energy you use is a day or where the food you eat is sourced. It can be improved by adding more questions an also instead of framing it to look like you are killing someone, show multiple effects of what can result from your choices. "
student_266,I didn't realize how big of an impact my food and transportation options had on other people. It makes me feel bad and makes me want to change some of my choices. I feel that this quiz is a good way to get this point across. I could try to eat food that has less of an impact and use more sustainable transportation options. 
